netpulse-backend  | 
netpulse-backend  | 2026-01-13T16:52:04.466Z  INFO 1 --- [netpulse] [           main] .RepositoryConfigurationExtensionSupport : Spring Data LDAP - Could not safely identify store assignment for repository candidate interface com.geosoft.netpulse.compliance.ComplianceRuleRepository; If you want this repository to be a LDAP repository, consider annotating your entities with one of these annotations: org.springframework.ldap.odm.annotations.Entry (preferred), or consider extending one of the following types with your repository: org.springframework.data.ldap.repository.LdapRepository
netpulse-backend  | 2026-01-13T16:52:04.466Z  INFO 1 --- [netpulse] [           main] .RepositoryConfigurationExtensionSupport : Spring Data LDAP - Could not safely identify store assignment for repository candidate interface com.geosoft.netpulse.deployment.repo.AuditEventRepository; If you want this repository to be a LDAP repository, consider annotating your entities with one of these annotations: org.springframework.ldap.odm.annotations.Entry (preferred), or consider extending one of the following types with your repository: org.springframework.data.ldap.repository.LdapRepository
netpulse-backend  | 2026-01-13T16:52:04.466Z  INFO 1 --- [netpulse] [           main] .RepositoryConfigurationExtensionSupport : Spring Data LDAP - Could not safely identify store assignment for repository candidate interface com.geosoft.netpulse.deployment.repo.DeploymentDetectionRuleRepository; If you want this repository to be a LDAP repository, consider annotating your entities with one of these annotations: org.springframework.ldap.odm.annotations.Entry (preferred), or consider extending one of the following types with your repository: org.springframework.data.ldap.repository.LdapRepository
netpulse-backend  | 2026-01-13T16:52:04.466Z  INFO 1 --- [netpulse] [           main] .RepositoryConfigurationExtensionSupport : Spring Data LDAP - Could not safely identify store assignment for repository candidate interface com.geosoft.netpulse.deployment.repo.DeploymentJobRepository; If you want this repository to be a LDAP repository, consider annotating your entities with one of these annotations: org.springframework.ldap.odm.annotations.Entry (preferred), or consider extending one of the following types with your repository: org.springframework.data.ldap.repository.LdapRepository
netpulse-backend  | 2026-01-13T16:52:04.466Z  INFO 1 --- [netpulse] [           main] .RepositoryConfigurationExtensionSupport : Spring Data LDAP - Could not safely identify store assignment for repository candidate interface com.geosoft.netpulse.deployment.repo.DeploymentPackageRepository; If you want this repository to be a LDAP repository, consider annotating your entities with one of these annotations: org.springframework.ldap.odm.annotations.Entry (preferred), or consider extending one of the following types with your repository: org.springframework.data.ldap.repository.LdapRepository
netpulse-backend  | 2026-01-13T16:52:04.467Z  INFO 1 --- [netpulse] [           main] .RepositoryConfigurationExtensionSupport : Spring Data LDAP - Could not safely identify store assignment for repository candidate interface com.geosoft.netpulse.deployment.repo.DeploymentPolicyRepository; If you want this repository to be a LDAP repository, consider annotating your entities with one of these annotations: org.springframework.ldap.odm.annotations.Entry (preferred), or consider extending one of the following types with your repository: org.springframework.data.ldap.repository.LdapRepository
netpulse-backend  | 2026-01-13T16:52:04.467Z  INFO 1 --- [netpulse] [           main] .RepositoryConfigurationExtensionSupport : Spring Data LDAP - Could not safely identify store assignment for repository candidate interface com.geosoft.netpulse.deployment.repo.DeploymentTaskLogRepository; If you want this repository to be a LDAP repository, consider annotating your entities with one of these annotations: org.springframework.ldap.odm.annotations.Entry (preferred), or consider extending one of the following types with your repository: org.springframework.data.ldap.repository.LdapRepository
netpulse-backend  | 2026-01-13T16:52:04.467Z  INFO 1 --- [netpulse] [           main] .RepositoryConfigurationExtensionSupport : Spring Data LDAP - Could not safely identify store assignment for repository candidate interface com.geosoft.netpulse.deployment.repo.DeploymentTaskRepository; If you want this repository to be a LDAP repository, consider annotating your entities with one of these annotations: org.springframework.ldap.odm.annotations.Entry (preferred), or consider extending one of the following types with your repository: org.springframework.data.ldap.repository.LdapRepository
netpulse-backend  | 2026-01-13T16:52:04.467Z  INFO 1 --- [netpulse] [           main] .RepositoryConfigurationExtensionSupport : Spring Data LDAP - Could not safely identify store assignment for repository candidate interface com.geosoft.netpulse.deployment.repo.MaintenanceWindowRepository; If you want this repository to be a LDAP repository, consider annotating your entities with one of these annotations: org.springframework.ldap.odm.annotations.Entry (preferred), or consider extending one of the following types with your repository: org.springframework.data.ldap.repository.LdapRepository
netpulse-backend  | 2026-01-13T16:52:04.468Z  INFO 1 --- [netpulse] [           main] .RepositoryConfigurationExtensionSupport : Spring Data LDAP - Could not safely identify store assignment for repository candidate interface com.geosoft.netpulse.deployment.repo.SoftwareCategoryRepository; If you want this repository to be a LDAP repository, consider annotating your entities with one of these annotations: org.springframework.ldap.odm.annotations.Entry (preferred), or consider extending one of the following types with your repository: org.springframework.data.ldap.repository.LdapRepository
